plant_id,image_path,source,source_page,source_file_url,downloaded_file_url,title,author,license,license_url,reviewed_status
PLANT-0004,/images/plants/local/plant-0004-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Гвоздика бородата V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Гвоздика бородата V-120.jpg,,Гвоздика бородата - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0014,/images/plants/local/plant-0014-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Котівник котячий V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Котівник котячий V-120.jpg,,Котівник котячий - касета Hiko V-120ss,Flora & Aroma local file,operator_supplied,,operator_selected_for_storefront
PLANT-0055,/images/plants/local/plant-0055-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Лаванда широколиста V-120-2.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Лаванда широколиста V-120-2.jpg,,Лаванда широколиста - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0027,/images/plants/local/plant-0027-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Левиний зів V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Левиний зів V-120.jpg,,Левиний зів - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0037,/images/plants/local/plant-0037-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Мята гірська V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Мята гірська V-120.jpg,,М'ята гірська - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0044,/images/plants/local/plant-0044-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Майоран садовий V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Майоран садовий V-120.jpg,,Майоран садовий - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0081,/images/plants/local/plant-0081-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Мята перцева V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Мята перцева V-120.jpg,,М’ята перцева - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0066,/images/plants/local/plant-0066-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Розмарин лікарський V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Розмарин лікарський V-120.jpg,,Розмарин лікарський - касета Hiko V-120ss,Flora & Aroma local file,local_review_needed,,container_photo_not_primary
PLANT-0074,/images/plants/local/plant-0074-format-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Рута запашна V-120.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Рута запашна V-120.jpg,,Рута запашна - касета Hiko V-120ss,Flora & Aroma local file,operator_supplied,,operator_selected_for_storefront
PLANT-0057,/images/plants/local/plant-0057-local-gallery-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\.codex-remote-attachments\019e8f18-cef9-7783-a869-6e6865f20c2a\5a10a05e-cfd4-413b-8844-2b06741e09d7\1-Photo-1.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\.codex-remote-attachments\019e8f18-cef9-7783-a869-6e6865f20c2a\5a10a05e-cfd4-413b-8844-2b06741e09d7\1-Photo-1.jpg,,Мак східний червоний - додаткове фото цвітіння,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0057,/images/plants/local/plant-0057-local-gallery-02.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\.codex-remote-attachments\019e8f18-cef9-7783-a869-6e6865f20c2a\5a10a05e-cfd4-413b-8844-2b06741e09d7\2-Photo-2.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\.codex-remote-attachments\019e8f18-cef9-7783-a869-6e6865f20c2a\5a10a05e-cfd4-413b-8844-2b06741e09d7\2-Photo-2.jpg,,Мак східний червоний - додаткове фото цвітіння,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0014,/images/plants/local/plant-0014-card-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Картки рослин\Котовник котячий.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Картки рослин\Котовник котячий.jpg,,Котівник котячий - картка,Flora & Aroma local file,operator_supplied,,operator_selected_for_storefront
PLANT-0074,/images/plants/local/plant-0074-card-01.jpg,Local Flora image folder,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Картки рослин\Рута запашна.jpg,C:\Users\Лесхоз7\Desktop\flora_aroma\Изображения\Картки рослин\Рута запашна.jpg,,Рута запашна - картка,Flora & Aroma local file,operator_supplied,,operator_selected_for_storefront
PLANT-0084,/images/plants/local/plant-0084-local-gallery-03.png,Local Flora image folder,C:\Users\??????7\Desktop\flora_aroma\???????????\???????? ????????? 1.png,C:\Users\??????7\Desktop\flora_aroma\???????????\???????? ????????? 1.png,,???????? ????????? - ????????? ???? ????????,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0084,/images/plants/local/plant-0084-local-gallery-04.png,Local Flora image folder,C:\Users\??????7\Desktop\flora_aroma\???????????\???????? ????????? 2.png,C:\Users\??????7\Desktop\flora_aroma\???????????\???????? ????????? 2.png,,???????? ????????? - ????????? ???? ????????,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
